original_page,physical_pdf_page,content_type,short_observation,canonical_public_url,public_text_status,public_scan_status,public_photo_status,public_document_status,related_people,related_events,related_places,relation_status,ru_status,en_status,privacy_status,duplicate_of,alternate_scan_of,final_status,remaining_issue
138,137,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
139,138,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/16-yunost-i-sasha/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
140,139,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/17-krym-sevastopol-semya/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
141,140,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/17-krym-sevastopol-semya/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
142,141,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/17-krym-sevastopol-semya/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
143,142,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/17-krym-sevastopol-semya/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
144,143,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/17-krym-sevastopol-semya/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
145,144,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/18-ucheba-rabota-vypuskniki/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
146,145,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/18-ucheba-rabota-vypuskniki/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
147,146,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/18-ucheba-rabota-vypuskniki/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
148,147,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/18-ucheba-rabota-vypuskniki/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
149,148,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
150,149,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
151,150,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
152,151,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
153,152,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
154,153,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
155,154,withheld,Living-person photos; not public,,withheld,static_removed,withheld,withheld,,,,private,withheld,withheld,internal_private,,,complete_internal_privacy,family decision for public release
156,155,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
157,156,withheld,Living-person photos; not public,,withheld,static_removed,withheld,withheld,,,,private,withheld,withheld,internal_private,,,complete_internal_privacy,family decision for public release
158,157,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
159,158,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
160,159,manuscript,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
161,160,photo_or_mixed,Reader chapter + EN published,/vospominaniya/dnevnik/19-semya-i-deti/,reader_published,in_chapter_or_doc,embedded_if_exists,n/a,,,,ok,published,published,public_safe,,,complete_public,
